colegio,sexo,edad,ausencias,N1,N2,N3
GP,F,18,6,1.8,2.1,2.1
GP,F,17,4,1.8,1.8,2.1
GP,F,15,10,2.4,2.8,3.5
GP,F,15,2,5.2,4.9,5.2
GP,F,16,4,2.1,3.5,3.5
GP,M,16,10,5.2,5.2,5.2
GP,M,16,0,4.2,4.2,3.9
GP,F,17,6,2.1,1.8,2.1
GP,M,15,0,5.6,6.3,6.6
GP,M,15,0,4.9,5.2,5.2
GP,F,15,0,3.5,2.8,3.2
GP,F,15,4,3.5,4.2,4.2
GP,M,15,2,4.9,4.9,4.9
GP,M,15,2,3.5,3.5,3.9
GP,M,15,0,4.9,5.6,5.6
GP,F,16,4,4.9,4.9,4.9
GP,F,16,6,4.6,4.9,4.9
GP,F,16,4,2.8,3.5,3.5
GP,M,17,16,2.1,1.8,1.8
GP,M,16,4,2.8,3.5,3.5
GP,M,15,0,4.6,4.9,5.2
GP,M,15,0,4.2,5.2,5.2
GP,M,16,2,5.2,5.2,5.6
GP,M,16,0,4.6,4.6,4.2
GP,F,15,2,3.5,3.2,2.8
GP,F,16,14,2.1,3.2,2.8
GP,M,15,2,4.2,4.2,3.9
GP,M,15,4,5.2,5.6,5.2
GP,M,16,4,3.9,3.9,3.9
GP,M,16,16,3.5,4.2,3.9
GP,M,15,0,3.2,3.9,4.2
GP,M,15,0,6.0,5.6,6.0
GP,M,15,0,6.0,5.6,5.6
GP,M,15,0,2.8,3.5,4.2
GP,M,16,0,4.2,4.9,5.2
GP,F,15,0,2.8,2.4,2.1
GP,M,15,2,5.2,5.6,6.3
GP,M,16,7,5.2,5.6,5.2
GP,F,15,2,4.2,4.2,3.9
GP,F,15,8,4.9,4.6,4.6
GP,F,16,25,2.4,3.5,3.9
GP,M,15,8,4.2,4.2,4.2
GP,M,15,2,6.6,6.3,6.3
GP,M,15,0,2.8,2.8,3.9
GP,F,16,14,3.5,3.5,3.2
GP,F,15,8,2.8,2.8,2.1
GP,F,16,12,3.9,4.2,3.9
GP,M,16,4,6.6,6.6,7.0
GP,M,15,2,5.2,5.2,4.9
GP,F,15,2,2.4,2.4,2.4
GP,F,16,2,4.2,4.6,4.6
GP,F,15,2,3.9,4.6,4.6
GP,M,15,6,3.9,3.9,3.5
GP,F,15,0,2.8,3.5,3.9
GP,F,15,6,3.5,4.6,4.6
GP,F,16,8,2.8,3.2,3.5
GP,F,15,0,4.9,5.2,5.2
GP,M,15,4,4.9,5.2,5.2
GP,M,15,2,3.2,3.5,3.2
GP,F,16,2,5.2,5.6,5.6
GP,F,16,6,3.5,3.9,3.9
GP,F,16,6,3.5,2.8,3.9
GP,F,16,4,2.8,3.5,3.2
GP,F,16,2,3.5,3.2,3.2
GP,F,15,0,3.5,3.5,3.5
GP,F,16,2,5.6,5.2,5.2
GP,M,15,4,4.6,4.6,4.2
GP,F,16,4,2.4,2.4,2.1
GP,F,15,2,2.8,3.2,2.8
GP,F,15,12,5.6,5.6,5.6
GP,M,16,0,4.6,5.2,5.2
GP,M,15,0,3.5,3.5,3.5
GP,F,15,2,2.8,2.1,1.8
GP,M,16,2,4.2,4.2,4.9
GP,F,16,54,3.9,4.2,3.9
GP,M,15,6,3.2,3.2,3.5
GP,M,15,8,3.9,3.9,3.5
GP,F,16,0,3.9,3.9,3.9
GP,M,17,2,2.8,2.8,3.5
GP,F,16,12,1.8,1.8,1.8
GP,M,15,2,3.5,4.2,4.2
GP,M,15,4,3.9,3.5,3.9
GP,F,15,10,2.4,2.1,2.1
GP,M,15,4,5.2,5.2,5.2
GP,F,15,2,3.2,3.5,3.5
GP,F,15,6,2.4,3.2,2.8
GP,F,16,4,2.8,2.4,2.1
GP,F,15,4,4.6,4.9,4.9
GP,M,16,12,3.9,3.5,3.5
GP,M,16,18,2.8,2.1,2.4
